Date,Linea (#),Kroma Network (#),zkSync Era (#),OP Mainnet (#),Boba Network (#),Stacks (#),Arbitrum (#),Astar zkEVM (#),Mantle (#),Polygon zkEVM (#),Starknet (#),Manta Pacific (#),Scroll (#),ZKFair (#),Base (#),Metis (#),Mode Network (#),Kinto (#)
2013-12-21,,,,,,1.00,,,,,,,,,,,,
2013-12-22,,,,,,1.00,,,,,,,,,,,,
2013-12-23,,,,,,1.00,,,,,,,,,,,,
2013-12-24,,,,,,1.00,,,,,,,,,,,,
2013-12-25,,,,,,1.00,,,,,,,,,,,,
2013-12-26,,,,,,1.00,,,,,,,,,,,,
2013-12-27,,,,,,1.00,,,,,,,,,,,,
2013-12-28,,,,,,1.00,,,,,,,,,,,,
2013-12-29,,,,,,1.00,,,,,,,,,,,,
2013-12-30,,,,,,2.00,,,,,,,,,,,,
2013-12-31,1.00,1.00,,,,2.00,,,,,,,,,,,,
2014-01-01,2.00,2.00,,,,2.00,,,,,,,,,,,,
2014-01-02,2.00,2.00,,,,2.00,,,,,,,,,,,,
2014-01-03,2.00,2.00,,,,2.00,,,,,,,,,,,,
2014-01-04,2.00,2.00,,,,2.00,,,,,,,,,,,,
2014-01-05,2.00,2.00,,,,2.00,,,,,,,,,,,,
2014-01-06,2.00,2.00,,,,2.00,,,,,,,,,,,,
2014-01-07,2.00,2.00,,,,2.00,,,,,,,,,,,,
2014-01-08,2.00,2.00,,,,2.00,,,,,,,,,,,,
2014-01-09,2.00,2.00,,,,2.00,,,,,,,,,,,,
2014-01-10,2.00,2.00,,,,2.00,,,,,,,,,,,,
2014-01-11,2.00,2.00,,,,2.00,,,,,,,,,,,,
2014-01-12,2.00,2.00,,,,2.00,,,,,,,,,,,,
2014-01-13,2.00,2.00,,,,2.00,,,,,,,,,,,,
2014-01-14,2.00,2.00,,,,2.00,,,,,,,,,,,,
2014-01-15,3.00,3.00,,,,2.00,,,,,,,,,,,,
2014-01-16,3.00,3.00,,,,2.00,,,,,,,,,,,,
2014-01-17,3.00,3.00,,,,2.00,,,,,,,,,,,,
2014-01-18,3.00,3.00,,,,2.00,,,,,,,,,,,,
2014-01-19,3.00,3.00,,,,2.00,,,,,,,,,,,,
2014-01-20,3.00,3.00,,,,2.00,,,,,,,,,,,,
2014-01-21,3.00,3.00,,,,2.00,,,,,,,,,,,,
2014-01-22,3.00,3.00,,,,2.00,,,,,,,,,,,,
2014-01-23,3.00,3.00,,,,2.00,,,,,,,,,,,,
2014-01-24,3.00,3.00,,,,2.00,,,,,,,,,,,,
2014-01-25,3.00,3.00,,,,2.00,,,,,,,,,,,,
2014-01-26,3.00,3.00,,,,2.00,,,,,,,,,,,,
2014-01-27,3.00,3.00,,,,2.00,,,,,,,,,,,,
2014-01-28,3.00,3.00,,,,3.00,,,,,,,,,,,,
2014-01-29,4.00,4.00,,,,2.00,,,,,,,,,,,,
2014-01-30,4.00,4.00,,,,2.00,,,,,,,,,,,,
2014-01-31,4.00,4.00,,,,2.00,,,,,,,,,,,,
2014-02-01,5.00,5.00,,,,2.00,,,,,,,,,,,,
2014-02-02,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-02-03,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-02-04,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-02-05,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-02-06,5.00,5.00,,,,3.00,,,,,,,,,,,,
2014-02-07,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-02-08,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-02-09,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-02-10,4.00,4.00,,,,3.00,,,,,,,,,,,,
2014-02-11,4.00,4.00,,,,3.00,,,,,,,,,,,,
